State,"Total Homeless, 2014","Sheltered Homeless, 2014","Unsheltered Homeless, 2014","Homeless Individuals, 2014","Sheltered Homeless Individuals, 2014","Unsheltered Homeless Individuals, 2014","Homeless People in Families, 2014","Sheltered Homeless People in Families, 2014","Unsheltered Homeless People in Families, 2014","Chronically Homeless, 2014","Sheltered Chronically Homeless, 2014","Unsheltered Chronically Homeless, 2014","Chronically Homeless Individuals, 2014","Sheltered Chronically Homeless Individuals, 2014","Unsheltered Chronically Homeless Individuals, 2014","Chronically Homeless People in Families, 2014","Sheltered Chronically Homeless People in Families, 2014","Unsheltered Chronically Homeless People in Families, 2014","Homeless Veterans, 2014","Sheltered Homeless Veterans, 2014","Unsheltered Homeless Veterans, 2014","Homeless Unaccompanied Youth and Children, 2014","Sheltered Homeless Unaccompanied Youth and Children, 2014","Unsheltered Homeless Unaccompanied Youth and Children, 2014","Homeless Unaccompanied Children, 2014","Sheltered Homeless Unaccompanied Children, 2014","Unsheltered Homeless Unaccompanied Children, 2014","Homeless Unaccompanied Young Adults, 2014","Sheltered Homeless Unaccompanied Young Adults, 2014","Unsheltered Homeless Unaccompanied Young Adults, 2014"
AK,"1,784","1,639",145,"1,209","1,109",100,575,530,45,206,137,69,182,119,63,24,18,6,89,89,0,195,169,26,14,13,1,181,156,25
AL,"4,561","3,518","1,043","3,115","2,373",742,"1,446","1,145",301,729,283,446,618,245,373,111,38,73,542,450,92,276,207,69,14,11,3,262,196,66
AR,"2,936","1,503","1,433","2,303","1,070","1,233",633,433,200,519,85,434,516,82,434,3,3,0,361,220,141,253,109,144,3,1,2,250,108,142
AZ,"10,495","7,926","2,569","6,194","3,851","2,343","4,301","4,075",226,959,316,643,904,303,601,55,13,42,858,635,223,717,504,213,50,47,3,667,457,210
CA,"113,952","42,515","71,437","90,765","24,857","65,908","23,187","17,658","5,529","31,078","5,131","25,947","28,200","4,417","23,783","2,878",714,"2,164","12,096","4,457","7,639","13,709","2,959","10,750","1,782",238,"1,544","11,927","2,721","9,206"
CO,"10,028","8,083","1,945","5,573","4,035","1,538","4,455","4,048",407,"1,621",747,874,"1,335",635,700,286,112,174,753,528,225,645,467,178,45,41,4,600,426,174
CT,"4,450","3,531",919,"3,069","2,243",826,"1,381","1,288",93,"1,215",847,368,"1,026",696,330,189,151,38,295,221,74,194,141,53,5,5,0,189,136,53
DC,"7,748","7,352",396,"3,953","3,557",396,"3,795","3,795",0,"2,029","1,694",335,"1,609","1,274",335,420,420,0,406,375,31,215,197,18,5,5,0,210,192,18
DE,901,864,37,584,554,30,317,310,7,91,82,9,88,79,9,3,3,0,93,89,4,44,42,2,7,7,0,37,35,2
FL,"41,542","19,851","21,691","28,730","12,886","15,844","12,812","6,965","5,847","7,989","1,903","6,086","6,843","1,717","5,126","1,146",186,960,"4,552","2,424","2,128","3,656","1,951","1,705","1,230",687,543,"2,426","1,264","1,162"
